"station_name","year","safe_chill"
"GOIABEIRAS","observed",0
"PONTA PELADA","observed",0
"EDUARDO GOMES INTL","observed",0
"VILLA REYNOLDS","observed",40.5995957638163
"SIMON BOLIVAR INTL","observed",0
"SANTAREM","observed",0
"DEPUTADO LUIS EDUARDO MAGALHAES","observed",0
"ALFONSO BONILLA ARAGON INTL","observed",0
"BOA VISTA","observed",0
"ELDORADO INTL","observed",10.5685411640593
"MATECANA","observed",0
"VAL DE CANS INTL","observed",0
"Quillota","observed",49.4439249126295
"Lliu-Lliu Embalse","observed",50.5859618847175
