"chillR_code","Name","CTRY","Latitude","Longitude","Elevation","BEGIN","END","distance","elevation_diff","Perc_Tmin","Perc_Tmax","Cod_Station","Institution","Source","Distance","N_Obs","Perc_days_complete"
"838990_99999","HERCILIO LUZ","BR",-27.67,-48.547,6.1,19730101,20191115,2251,123.9,96.4913544668588,96.4913544668588,NA,NA,NA,NA,NA,NA
"838400_99999","AFONSO PENA","BR",-25.528,-49.176,910.7,19610101,20191115,2287.2,-780.7,98.6455331412104,98.6527377521614,NA,NA,NA,NA,NA,NA
"879340_99999","RIO GRANDE 2","AR",-53.778,-67.749,19.8,19730101,20191115,2336.25,110.2,95.1585014409222,95.1296829971182,NA,NA,NA,NA,NA,NA
"846280_99999","JORGE CHAVEZ INTL","PE",-12.022,-77.114,34.4,19601106,20191115,2388.92,95.6,94.0922190201729,94.0922190201729,NA,NA,NA,NA,NA,NA
"850410_99999","HEROES DEL ACRE","BL",-11.04,-68.783,271.9,19430201,20191115,2433,-141.9,90.7420749279539,90.9870317002882,NA,NA,NA,NA,NA,NA
"833620_99999","MARECHAL RONDON","BR",-15.653,-56.117,188.1,19730101,20191115,2442.36,-58.1,90.7492795389049,90.7564841498559,NA,NA,NA,NA,NA,NA
"837210_99999","VIRACOPOS","BR",-23.007,-47.135,661.4,19510120,20191115,2601.76,-531.4,99.3371757925072,99.3515850144092,NA,NA,NA,NA,NA,NA
"837800_99999","CONGONHAS","BR",-23.627,-46.655,801.9,19310101,20191115,2610.78,-671.9,99.2363112391931,99.2723342939481,NA,NA,NA,NA,NA,NA
"845150_99999","CAP FAP DAVID ABENZUR RENGIFO INTL","PE",-8.378,-74.574,156.4,19490102,20191115,2736.79,-26.4,94.8054755043228,94.8054755043228,NA,NA,NA,NA,NA,NA
"845010_99999","CAPITAN CARLOS MARTINEZ DE PINILLOS","PE",-8.081,-79.109,32.3,19490102,20191115,2865.84,97.7,93.1051873198847,93.1123919308357,NA,NA,NA,NA,NA,NA
"837460_99999","GALEAO ANTONIO CARLOS JOBIM","BR",-22.809,-43.244,8.5,19310101,20191115,2960.88,121.5,99.6253602305476,99.6325648414986,NA,NA,NA,NA,NA,NA
"837550_99999","SANTOS DUMONT","BR",-22.91,-43.163,3.4,19380913,20191115,2962.92,126.6,95.4755043227666,95.4755043227666,NA,NA,NA,NA,NA,NA
