"Station name","Country","Database","Latitude","Longitude","Elevation","Percentage of data complete"
"Santa Rosa Aero","CL","CR2","36.57 °S","64.27 °W",192,90.6
"Bernardo O'Higgins Chillan Ad.","CL","CR2","36.59 °S","72.04 °W",151,99.5
"SANTA ROSA","AR","GSOD","36.59 °S","64.28 °W",192,97.7
"CARRIEL SUR INTL","CL","GSOD","36.77 °S","73.06 °W",7.9,99.5
"Carriel Sur Concepcion.","CL","CR2","36.78 °S","73.06 °W",12,99.9
"Diguillin","CL","CR2","36.87 °S","71.64 °W",670,96.3
"TANDIL","AR","GSOD","37.24 °S","59.23 °W",175,97.2
"MAR DEL PLATA","AR","GSOD","37.93 °S","57.57 °W",21.6,98.4
"Traiguen","CL","CR2","38.26 °S","72.65 °W",234,91.6
"COMANDANTE ESPORA","AR","GSOD","38.73 °S","62.17 °W",75,97.5
"Maquehue Temuco Ad.","CL","CR2","38.77 °S","72.64 °W",92,99
"PRESIDENTE PERON","AR","GSOD","38.95 °S","68.16 °W",272.8,97
"Neuquen","AR","SMN - INTA","38.95 °S","67.97 °W",271,99.5
"Ascasubi","AR","SMN - INTA","39.38 °S","62.62 °W",22,96
"Pichoy Valdivia Ad.","CL","CR2","39.65 °S","73.08 °W",21,99.9
"Adolfo Matthei","CL","CR2","40.59 °S","73.11 °W",55,91.5
"Canal Bajo Osorno Ad.","CL","CR2","40.6 °S","73.06 °W",61,99
"Viedma","AR","SMN - INTA","40.85 °S","63.02 °W",7,97
"GOBERNADOR CASTELLO","AR","GSOD","40.87 °S","63 °W",6.1,94.2
"SAN CARLOS DE BARILOCHE","AR","GSOD","41.15 °S","71.16 °W",846.1,98
"Maquinchao","AR","SMN - INTA","41.25 °S","68.73 °W",887,96.3
"El Tepual Puerto Montt Ap.","CL","CR2","41.44 °S","73.1 °W",85,100
"EL TEPUAL INTL","CL","GSOD","41.44 °S","73.09 °W",89.6,99.2
"ESQUEL","AR","GSOD","42.91 °S","71.14 °W",798.9,96.1
"Futaleufu Ad.","CL","CR2","43.19 °S","71.85 °W",347,92.7
"ALMIRANTE ZAR","AR","GSOD","43.21 °S","65.27 °W",43,98.5
"Trelew","AR","SMN - INTA","43.23 °S","65.32 °W",10,99
"Teniente Vidal Coyhaique Ad.","CL","CR2","45.59 °S","72.11 °W",310,100
