"station_name","Elevation","Latitude","Longitude","CTRY"
"JORGE CHAVEZ INTL",34.4,-12.022,-77.114,"PE"
"HEROES DEL ACRE",271.9,-11.04,-68.783,"BL"
"MARECHAL RONDON",188.1,-15.653,-56.117,"BR"
"VIRACOPOS",661.4,-23.007,-47.135,"BR"
"CONGONHAS",801.9,-23.627,-46.655,"BR"
"CAP FAP DAVID ABENZUR RENGIFO INTL",156.4,-8.378,-74.574,"PE"
"CAPITAN CARLOS MARTINEZ DE PINILLOS",32.3,-8.081,-79.109,"PE"
"GALEAO ANTONIO CARLOS JOBIM",8.5,-22.809,-43.244,"BR"
"SANTOS DUMONT",3.4,-22.91,-43.163,"BR"
"PRESIDENTE JUSCELINO KUBITSCHEK",1060.4,-15.863,-47.913,"BR"
"CAPT JOSE A  QUINONES GONZALES INTL",29.6,-6.787,-79.828,"PE"
"ALFREDO VASQUEZ COBO",84.4,-4.193,-69.943,"CO"
"CAPITAN FAP GUILLERMO CONCHA IBERICO",35.4,-5.206,-80.616,"PE"
"CORONEL FRANCISCO SECADA VIGNETTA INTL",93.3,-3.785,-73.309,"PE"
"GOIABEIRAS",3.4,-20.258,-40.286,"BR"
"PONTA PELADA",81.4,-3.146,-59.986,"BR"
"EDUARDO GOMES INTL",80.5,-3.039,-60.05,"BR"
"SIMON BOLIVAR INTL",5.8,-2.157,-79.884,"EC"
"SANTAREM",60.4,-2.422,-54.793,"BR"
"DEPUTADO LUIS EDUARDO MAGALHAES",19.5,-12.911,-38.331,"BR"
"ALFONSO BONILLA ARAGON INTL",963.8,3.543,-76.382,"CO"
"BOA VISTA",84.1,2.846,-60.69,"BR"
"ELDORADO INTL",2548.4,4.702,-74.147,"CO"
"MATECANA",1346,4.813,-75.74,"CO"
"VAL DE CANS INTL",16.5,-1.379,-48.476,"BR"
