"station_name","Altitude","Latitude","Longitude","country","1981","1985","1989","1993","1997","2001","2005","2009","2013","2017","rcp45_2050_pessimistic","rcp45_2050_intermediate","rcp45_2050_optimistic","rcp45_2085_pessimistic","rcp45_2085_intermediate","rcp45_2085_optimistic","rcp85_2050_pessimistic","rcp85_2050_intermediate","rcp85_2050_optimistic","rcp85_2085_pessimistic","rcp85_2085_intermediate","rcp85_2085_optimistic"
"CAP FAP DAVID ABENZUR RENGIFO INTL",156.4,-8.378,-74.574,"PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPITAN CARLOS MARTINEZ DE PINILLOS",32.3,-8.081,-79.109,"PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPITAN FAP GUILLERMO CONCHA IBERICO",35.4,-5.206,-80.616,"PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAPT JOSE A  QUINONES GONZALES INTL",29.6,-6.787,-79.828,"PE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARLOS IBANEZ DEL CAMPO INTL",42.4,-53.003,-70.855,"CI",81.5258058649724,80.8487652878703,80.1485051698792,81.1013852454889,81.3336906234908,81.6034099551416,82.381077637071,83.1549089356013,83.6370979164165,83.9183314550264,84.8730802154478,86.6807625016172,88.2724745055966,85.2355766607693,87.4174056771863,89.3992309776404,86.1838486339857,87.9984391489879,89.581770065236,88.551067960253,91.7443417293289,92.7461110457853
"CARRASCO INTL",32,-34.838,-56.031,"UY",48.3309498452854,47.9197522594284,50.6051181875032,49.0257177534768,48.5901875133582,48.175301061246,47.7551974940006,46.1064775886427,45.4183313476133,44.5098580016938,35.7582124973783,38.6735468029356,43.4140317496904,36.8263935559066,40.7566364386266,58.8738290814301,30.5775565712697,35.0611175634731,40.3722089411767,20.5643267008813,28.8253359394578,49.656428678669
"Carriel Sur Concepcion.",12,-36.7792,-73.0622,"CI",75.1193123540347,75.3900201568483,75.3372573387596,72.7492140403419,73.3166913529808,74.4303551993362,75.8638638636858,75.6499424661952,74.9370962900239,73.2429938873188,57.9124859532994,65.0466022255468,70.8546627341748,59.2869231622899,64.5305569058246,81.3985318767282,55.8136007492185,60.5566825559688,67.2213793429728,42.7684722654362,51.3763982045502,71.5309035355076
"CARRIEL SUR INTL",7.9,-36.773,-73.063,"CI",73.2799514881474,73.3516634998396,72.9118323616176,70.5138206038173,71.0646099513647,71.3957468781418,72.9272725662495,72.9311869594039,72.3799085528317,70.0267360581274,57.4000111408059,63.3590989787558,70.4507551165989,58.1366018163999,63.1011539170959,80.0546982055607,53.9422985809097,59.1451949747188,65.3576115637848,42.1067013525144,49.48318815331,70.2976306662968
"CATAMARCA",463.9,-28.596,-65.752,"AR",19.9478236495243,18.5201803625455,18.4306864568727,17.6350516404359,17.3877417441595,15.9109411207173,17.8276685452715,15.9942186300896,16.1655984271449,15.5085611911734,7.12955716103943,9.55638714334896,12.3124914639563,6.73802640878409,11.4499305855423,22.8325638012252,6.25910695354457,8.2163352247328,11.1316167762054,3.03504037093109,6.00508598530328,16.0294587713793
"CATARATAS DEL IGUAZU",279.2,-25.737,-54.473,"AR",6.63536199781595,7.17728790637057,6.9309700073145,7.1092919900351,6.27751528925012,5.99175788436162,6.79614334174482,6.04037709314645,6.04939670320894,6.07316202154436,2.00842942020131,3.001501054562,4.02457458540709,2.01324731807222,3.09124381765798,6.91876638504868,1.00684293114409,2.02229661175841,3.01613066979144,0,1.00470471471567,3.99590369157295
"CATARATAS INTL",239.9,-25.596,-54.487,"BR",4.83145685290805,5.07773486170231,4.98914524323396,6.29800111268264,4.9861012133627,4.98478616163095,5.90640508849924,5.72992408542888,6.06626724006358,5.37246893303546,1.47544956869484,2.0188290001189,3.02661056699048,1.35315581417308,2.95970886213297,6.21596005569302,1.00205287304584,1.99962209744189,2.02484351681244,0,1.00011891875414,3.31420261326252
"CERES",88,-29.883,-61.95,"AR",24.1728267405683,24.2829491940165,25.2460764921839,25.4806901685265,25.2603285202645,24.3378045108348,24.3665668639725,21.3897046513302,20.2648750002531,19.1212493862865,12.3253748800506,15.3614171352024,19.132869371273,13.712301758856,17.0504676371238,28.6454553570593,11.810573966038,13.8317834031039,15.9069895247183,6.67680391363376,11.6471889065708,22.2957126584251
"Cerro Calan",848,-33.395,-70.5367,"CI",59.2473236775068,57.6173363853968,56.1028818098903,53.4511668065061,53.3460164173298,51.7212604541746,51.9806516273075,50.6155478248056,52.0479625475236,50.99932275628,33.6704605874636,43.7846486637254,50.7950770949856,31.3239406861207,44.7934345306167,56.4530620144405,29.6137398525238,38.3321471597969,47.953395625323,18.1123903689149,32.005082554123,44.6021979906959
"Cerro Moreno Antofagasta Ap.",113,-23.4503,-70.4411,"CI",7.03081860669363,7.04660030360213,7.06878474038956,7.04174647159005,7.05291921193066,10.0493731533688,12.0912793749624,12.0744767082228,11.0677929300061,9.06123632050321,0,1.0004034388374,1.01547295750566,0,1.00111411500046,6.04439677821665,0,0,0,0,0,0
"CERRO MORENO INTL",138.7,-23.444,-70.445,"CI",7.04534854069243,8.02630505060301,8.05254247481901,7.85357862376304,8.04849492725077,10.0468948194298,13.0597272093419,12.9948507637391,12.0550118443432,11.0092258470988,0,0,1.01065748304225,0,0.958066557057776,5.02408950107633,0,0,0,0,0,0
"CHACALLUTA",50.9,-18.349,-70.339,"CI",0,0.998705304544302,0,0,0,1.00024785506631,1.0003344685052,1.00136396099469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chacalluta Arica Ap.",63,-18.3514,-70.3358,"CI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chile Chico Ad.",306,-46.5808,-71.6928,"CI",83.8919753686278,83.9403545648256,83.5831163051407,84.0346724031679,83.653786081911,83.5470112599305,83.9192788407199,84.3383439920908,84.5234738640361,84.397823194673,84.659013768005,84.9886559378551,85.9890809536273,85.0003929522572,85.5622647557557,86.6623360378653,84.2031307946781,85.0021381828137,85.770662817689,79.9102129780006,84.6481084281611,87.9810322215594
"Chiu-Chiu",2524,-22.3378,-68.6367,"CI",33.589712676895,33.0026994155733,30.6488294831747,31.064278752694,30.686614939319,32.8875384186717,33.3000721994491,33.34772960799,32.7091897825526,33.4006625444911,3.14904538549739,13.4574161712596,23.4150008622562,5.28944676117277,16.7296301879196,26.2418685628827,2.01833035187065,9.41686218081193,16.9028657264464,0.558915085946438,1.94430478677656,10.7379379587744
"Cogoti Embalse",740,-31.0078,-71.0856,"CI",34.1105932659423,32.3108708918207,31.3616581437846,28.0259191018849,26.7264167991506,26.5748547755743,26.9631543620394,26.9735525297392,28.0142674488718,27.9709987635965,11.6138243798292,18.0348138458005,24.4099197458891,11.0427400800085,18.7790460119641,29.0568147056338,8.02552508311715,14.0961593592492,22.8216385720846,3.03057988392015,7.9777620615175,18.402121792903
"Colorado",420,-35.6381,-71.2606,"CI",80.1384104967092,80.5685181749686,80.9174740328854,79.9179915657226,80.1723186857163,80.782609026026,81.7929467843896,81.5103007765247,81.425925901947,82.1154652661933,65.2961910614013,72.774730700281,78.0091464442512,65.2501288963776,73.611839018565,82.4274785147231,62.1011863736703,67.9374742075906,75.5677098813926,49.4538949577513,58.5430737810104,74.2800818789292
"COMANDANTE ESPORA",75,-38.725,-62.169,"AR",68.4882239831222,66.6540804604792,64.312889454719,60.3576958237818,58.9643364065805,59.8239863471576,61.1402975671926,60.9990464603743,60.1884629964243,58.2886886569495,52.8135579835885,56.2254430831381,59.7758943775389,53.7593566923942,57.686207967236,70.0886145099287,49.6343536222757,53.7836756071479,56.2515178029853,40.1497838309488,47.7791506908097,64.1765750816521
